artist_name,track_name,danceability,energy,instrumentalness,tempo,music_genre
Billy Joel,You May Be Right,0.567,0.945,2.6e-6,150.792,Rock
Grizfolk,Troublemaker,0.566,0.819,0.00339,112.91,Rock
Maren Morris,80s Mercedes (Live from SXSW 2016),0.593,0.792,0,91.06,Country
SAINt JHN,White Parents Are Gonna Hate This,0.688,0.834,4e-5,170.152,Rap
Yung Gravy,Suavecito,0.723,0.612,3.79e-5,159.967,Rap
RL Grime,UCLA - Heimanu Remix,0.391,0.925,0,149.706,Electronic
Jean Sibelius,"Pelleas and Melisande Suite, Op. 46, JS 147: Act V Scene 2: Prelude: Andante",0.155,0.00976,0.965,61.581,Classical
LOCASH,I Love This Life,0.586,0.927,7.24e-6,111.977,Rap
MC Davo,Desde Cero (feat. Santa Fe Klan),0.859,0.698,0,75.963,Hip-Hop
Wiz Khalifa,Let It Go - feat. Akon,0.564,0.902,0,141.099,Hip-Hop
Lionel Richie,Hello,0.562,0.244,0,61.881,Rock
88GLAM,Kitchen Witch,0.632,0.742,0,160.037,Hip-Hop
Kenny Rogers,Through The Years - Single Version,0.587,0.393,0,131.266,Country
G Herbo,FoReal,0.712,0.797,0,78.006,Hip-Hop
Carl Orff,Carmina Burana: II. Fortuna Imperatrix Mundi: Fortunae plango vulnera (I Lament the Wounds that Fortune Deals),0.5,0.358,6.47e-5,122.679,Classical
Ludacris,Get Back,0.582,0.651,0,171.463,Rap
Josh Thompson,Firebird,0.537,0.577,0,79.756,Country
Heitor Villa-Lobos,"12 Etudes, W 235: I. Allegro non troppo - arpejos",0.213,0.137,0.894,92.786,Classical
RL Grime,Era - 1788-L Remix,0.562,0.95,0.00121,155.169,Electronic
MC Hammer,It's All Good,0.868,0.784,8.07e-4,108.464,Electronic
Tom Petty and the Heartbreakers,"Keep a Little Soul - Outtake, 1982",0.659,0.755,0,115.553,Rock
David Bowie,Lazarus,0.66,0.695,0.145,129.972,Rock
Mac Miller,Of The Soul,0.621,0.699,0,89.776,Rap
GoldLink,Summatime (feat. Wale & Radiant Children),0.807,0.689,6.93e-5,95.014,Rap
Wiener Philharmoniker,"FrÃ_hlingsstimmen, Walzer Op.410",0.332,0.171,0.496,76.216,Classical
Upchurch,Shoot the Moon (feat. Bb Swing),0.727,0.701,0,119.928,Country
empty_field,"Piano Sonata No. 8 in A Minor, K. 310: I. Allegro maestoso",0.286,0.224,0.873,126.256,Classical
anders,Undone,0.708,0.478,0,90.996,Hip-Hop
empty_field,The Scarecrow,0.237,0.871,0.00292,93.004,Classical
empty_field,"Symphony in D Major, ""La chasse"": II. Andante",0.207,0.0266,0.756,93.987,Classical
Sheck Wes,Gmail,0.763,0.708,0.0106,160.035,Rap
OJ Da Juiceman,Make tha Trap Say Aye (feat. Gucci Mane),0.814,0.532,0,151.965,Rap
empty_field,My Friend,0.473,0.867,0.688,94.091,Electronic
ChocQuibTown,Pa Olvidarte,0.729,0.805,0,175.93,Hip-Hop
Electric Mantis,FACED,0.633,0.604,0.00217,159.929,Electronic
Georg Philipp Telemann,"Ouverture in G Major, TWV 32:13: VI. Menuet - Trio",0.306,0.116,0.962,82.784,Classical
Maurice Ravel,Menuet sur le nom d'Haydn,0.338,0.0125,0.912,168.218,Classical
Neil Young,"My My, Hey Hey (Out of the Blue)",0.502,0.4,3.75e-4,127.182,Rock
Arctic Monkeys,D Is For Dangerous,0.551,0.928,1.08e-4,145.057,Rock
flor,back again,0.636,0.597,0.00283,84.979,Rock
DragonForce,The Fire Still Burns,0.296,0.978,0.0012,200.047,Classical
Dixie Chicks,Never Say Die,0.672,0.487,0,105.582,Country
"Tyler, The Creator",DEATHCAMP,0.581,0.746,2.76e-4,101.881,Hip-Hop
Vance Joy,Saturday Sun,0.637,0.864,0,99.995,Rock
Dave Brubeck,Give A Little Whistle - Stereo Version,0.675,0.2,0.843,105.599,Classical
A Tribe Called Quest,Dis Generation,0.739,0.79,0,96.055,Hip-Hop
Young Thug,Me Or Us,0.682,0.251,1.06e-5,80.041,Hip-Hop
Ã“lafur Arnalds,unfold,0.743,0.191,0.879,120.009,Classical
Jon Hopkins,Singularity - Edit,0.555,0.791,0.858,132.929,Electronic
Bonobo,Figures,0.296,0.4,0.13,88.857,Electronic
empty_field,Watch My Shoes (feat. 3 Deep),0.814,0.639,0,165.96,Hip-Hop
The 1975,Paris,0.789,0.668,0.00217,117.007,Rock
Bas,Icarus (feat. Ari Lennox),0.764,0.491,2.18e-6,103.996,Hip-Hop
Pascal RogÃ©,Sarabande No.3,0.429,0.00356,0.956,66.112,Classical
Gorillaz,Rhinestone Eyes,0.676,0.703,6.87e-4,92.761,Rock
DMX,Where The Hood At,0.536,0.946,0,185.967,Hip-Hop
Arnold Schoenberg,"17 Piano Fragments: No. 5, â€”",0.293,0.209,0.755,171.041,Classical
Bastille,The Currents,0.581,0.739,1.18e-6,155.051,Rock
The Wood Brothers,Luckiest Man,0.571,0.281,0,142.263,Rock
BROCKHAMPTON,HOTTIE,0.856,0.712,0.0312,128.994,Hip-Hop
Gustav Mahler,"Songs from ""Des Knaben Wunderhorn"": 7. Des Antonius von Padua Fischpredigt",0.33,0.22,0.0326,167.115,Classical
Gustav Mahler,"Lieder eines fahrenden Gesellen: 1. ""Wenn mein Schatz Hochzeit macht""",0.235,0.0895,0.284,94.423,Classical
Aaron Watson,The Arrow,0.608,0.751,0,109.025,Country
Taking Back Sunday,There's No 'I' In Team,0.283,0.857,0,167.353,Rock
Pantera,This Love,0.402,0.73,0.323,104.527,Rock
Saba,BROKEN GIRLS,0.663,0.572,0,117.051,Rap
Peter Schmalfuss,Arabesque I: Andantino con Moto,0.394,0.0354,0.878,127.533,Classical
George Strait,Wish You Well,0.612,0.693,2.13e-6,99.95,Country
Dirty Heads,My Sweet Summer,0.661,0.833,0,93.989,Rock
XXXTENTACION,schizophrenia,0.606,0.349,0.0711,180.055,Rap
Luke Bryan,Hungover In A Hotel Room,0.535,0.841,0,136.068,Country
Monty Datta,With Somebody Else,0.703,0.219,0.863,91.963,Rap
Thomas Rhett,When Weâ€™re 80,0.725,0.687,5.27e-6,95.007,Country
Kenny Chesney,Guitars and Tiki Bars - Live,0.413,0.98,4.1e-4,161.984,Country
empty_field,I Wouldn't Do That,0.734,0.905,0,120.998,Rap
Overtime,The Foundation,0.758,0.7,0,120.045,Country
Black Sabbath,Electric Funeral - Remastered Version,0.364,0.488,1.23e-6,125.271,Rock
The Chemical Brothers,Galvanize,0.745,0.714,0.0222,104.003,Electronic
Lil Wayne,Nightmares Of The Bottom,0.81,0.577,3.48e-6,140.065,Rap
Drake,Final Fantasy,0.5,0.448,8.03e-6,144.204,Rap
Johann Sebastian Bach,"Cantata ""Ich habe genug"", BWV 82: Aria ""Schlummert ein, ihr matten Augen""",0.208,0.126,0.249,96.32,Classical
Beastie Boys,Paul Revere,0.886,0.352,0,91.719,Hip-Hop
High Contrast,Questions,0.416,0.938,1.25e-6,172.955,Electronic
The Doobie Brothers,Minute By Minute,0.735,0.276,2.01e-4,142.979,Country
Spoon,Inside Out,0.637,0.618,0.0971,176.141,Rock
Duncan Sheik,Barely Breathing,0.482,0.807,0,187.918,Rock
Migos,Antidote,0.762,0.643,0,130,Rap
Lil Uzi Vert,Grab the Wheel,0.748,0.48,0,137.835,Rap
Jeannie C. Riley,Harper Valley P.T.A.,0.795,0.448,0,122.318,Country
Vacation Manor,Careless,0.555,0.777,2.07e-6,116.058,Rock
Wiz Khalifa,Hopes & Dreams,0.636,0.631,0,140.726,Rap
AC/DC,Moneytalks,0.65,0.903,3.51e-4,121.896,Rock
Domo Genesis,Dapper,0.753,0.594,0,112.568,Rap
Jack's Mannequin,The Mixed Tape - 2015 Remastered,0.412,0.879,0,101.083,Rock
Jackson Browne,These Days,0.471,0.357,0.00363,138.255,Rock
Warren Zevon,Werewolves of London,0.749,0.614,0.00286,103.868,Rock
Narciso Yepes,Jeux interdits (Romance),0.146,0.0659,0.94,87.286,Classical
Claude Debussy,"Debussy: Suite bergamasque, L. 82: III. Clair de lune",0.363,0.00594,0.908,68.986,Classical
John Anderson,Seminole Wind,0.619,0.575,1.39e-6,126.964,Country
Josh Turner,Pallbearer,0.509,0.487,0.037,96.982,Country
ZoÃ©,SoÃ±Ã© - Live,0.627,0.476,0.0147,83,Rock
Blind Melon,No Rain,0.389,0.476,5.09e-5,148.117,Rock
Cryptic Wisdom,Fake It,0.773,0.733,0,79.013,Country
Lil Baby,My Drip,0.839,0.541,0,129.974,Hip-Hop
NEEDTOBREATHE,LET'S STAY HOME TONIGHT,0.548,0.367,0,147.946,Rock
Vince Gill,Pocket Full Of Gold,0.523,0.362,1.78e-4,81.727,Country
Playboi Carti,Magnolia,0.791,0.581,0,162.99,Hip-Hop
Bush,Little Things,0.343,0.936,0,112.628,Rock
Seattle Symphony Orchestra,"Symphony No. 1 in C minor, Op. 68: III. Un poco allegretto e grazioso",0.116,0.0673,0.913,82.206,Classical
Massive Attack,Trinity Dub (Three),0.441,0.676,0.491,218.03,Electronic
Lady Antebellum,Compass,0.56,0.77,6.39e-6,100.013,Country
Hunter Hayes,Dear God,0.63,0.692,0,119.972,Rock
Lil Wayne,Open Safe,0.929,0.598,0,96.012,Rap
Apparat,DAWAN,0.636,0.745,0.835,172.015,Electronic
Drake,4422,0.621,0.247,0.0239,111.974,Hip-Hop
MED,Burgundy Whip - Instrumental,0.733,0.525,0.876,95.099,Hip-Hop
Kodak Black,In The Flesh,0.735,0.521,0,173.977,Rap
Michael Nyman,The Departure (from Gattaca),0.585,0.014,0.929,127.593,Classical
Mike Stud,Lost Me,0.787,0.531,3.11e-5,91.957,Rap
Future,Mask Off,0.833,0.434,0.0219,150.062,Rap
Ludwig van Beethoven,"Piano Sonata No. 14 In C Sharp Minor, Op. 27, No. 2 -""Moonlight"": 1. Adagio sostenuto",0.141,0.00242,0.945,168.391,Classical
Victor Niglio,Jiggy,0.761,0.616,0.00738,99.995,Electronic
Thievery Corporation,The Shining Path,0.622,0.89,0.95,115.002,Electronic
Hector Berlioz,"L'enfance du Christ, Op. 25, H. 130, Pt. 1 ""Le songe dâ€™HÃ©rode"": La voix dit vrai, seigneur",0.258,0.03,0.292,74.324,Classical
The Neighbourhood,How,0.382,0.749,0.687,151.883,Rock
Sergei Prokofiev,"Peter and the Wolf, Op. 67: The Wolf Stalks the Bird and the Cat",0.358,0.0929,0.12,80.655,Classical
Rob Zombie,Dragula,0.591,0.963,1.07e-4,125.03,Rap
Lupe Fiasco,XO (feat. Troi Irons),0.662,0.922,0,128.137,Rap
Daft Punk,Aerodynamite,0.566,0.978,0.958,121.989,Electronic
Carrie Underwood,Temporary Home,0.432,0.353,0,81.289,Country
Gustavo Santaolalla,Coyita,0.723,0.33,0.904,91.88,Classical
Ghastly,I'll Wait (Vocal Mix) [feat. Shaylen],0.466,0.928,0.485,99.866,Electronic
Cole Swindell,All of It,0.648,0.883,2.56e-5,125.009,Rock
Chuuwee,See Today,0.802,0.461,7.31e-6,119.974,Hip-Hop
Camille Saint-SaÃ«ns,The Carnival of the Animals: Aquarium,0.212,0.0119,0.737,91.46,Classical
Waldeck,Memories,0.876,0.574,1.84e-4,96.002,Electronic
empty_field,"La Damnation de Faust, Op. 24, H. 111: Pt. II, ScÃ¨ne VI - ""Assez! fuyons ces lieux""",0.216,0.0115,0.00439,109.893,Classical
Luigi Boccherini,"String Quintet in C Major G. 324, Op. 30, No.6, ""La musica notturna delle strade di Madrid"": String Quintet in C major G.324, Op.30 No.6, ""La musica notturna delle strade di Madrid"": VII. Ritirata - Maestoso",0.388,0.18,0.894,81.15,Classical
Led Zeppelin,D'yer Mak'er,0.537,0.893,2.86e-4,163.727,Rock
Tim McGraw,My Little Girl,0.457,0.636,7.01e-6,144.686,Country
Darell,Tu Peor Error,0.746,0.511,0.245,185.949,Hip-Hop
The Beatles,Dear Prudence - 2018 Mix,0.395,0.538,4.53e-4,150.785,Rock
Steve Reich,Different Trains: After The War,0.322,0.148,0.464,184.431,Classical
Imagine Dragons,Selene,0.561,0.69,5.01e-6,94.992,Rock
Silk,Freak Me,0.697,0.608,0,133.879,Hip-Hop
Alvvays,In Undertow,0.357,0.69,0.00167,116.91,Rock
AntonÃ_n DvoÅ™Ã¡k,"Symphony No.9 In E Minor, Op.95, B.178 - ""From The New World"": 4. Allegro con fuoco",0.221,0.125,0.832,139.564,Classical
FrÃ©dÃ©ric Chopin,Chopin : 24 Preludes Op.28 : No.9 in E major,0.432,0.0154,0.952,67.178,Classical
The Beatles,Paperback Writer - Remastered 2015,0.472,0.856,2.78e-6,78.696,Rock
Tech N9ne,Speedom (Wwc2),0.709,0.934,0,130.083,Rap
Parachute,Without You,0.566,0.857,0,95.996,Rock
Mira (Berlin),Leila,0.811,0.487,0.9,115.998,Electronic
John Michael Montgomery,Believe In Me,0.571,0.562,0,140.002,Country
Minnesota,Subterranean,0.669,0.793,4.86e-5,127.994,Electronic
Drake,Houstatlantavegas,0.683,0.695,0.00124,135.337,Rap
Clint Black,Spend My Time,0.599,0.489,1.05e-5,135.817,Country
Pouya,Real Street Migo,0.823,0.815,0,79.992,Hip-Hop
Thievery Corporation,DÃ©collage (feat. Lou Lou Ghelichkhani),0.658,0.702,0.00565,118.91,Electronic
empty_field,Jazz (We've Got),0.822,0.479,4.42e-5,92.461,Hip-Hop
empty_field,"Piano Concerto No. 20 in D Minor, K. 466: 2. Romance",0.255,0.0884,0.908,85.413,Classical
Childish Gambino,II. Worldstar,0.705,0.598,0.159,119.985,Hip-Hop
Bob Dylan,All Along the Watchtower,0.581,0.41,2.04e-5,129.175,Rock
bbno$,bubblin,0.914,0.68,0,94.977,Hip-Hop
empty_field,"Piano Sonata No. 8 in C Minor, Op. 13 ""PathÃ©tique"": III. Rondo: Allegro",0.334,0.0644,0.936,99.889,Classical
Kevin Gates,No Love,0.502,0.545,0.00148,120.826,Rap
Drake,Shut It Down,0.584,0.445,0,119.917,Hip-Hop
Big Smo,We the People (feat. Casey Beathard),0.407,0.882,1.24e-4,178.679,Country
BROHUG,If I'm Wrong,0.838,0.963,4.88e-4,124.944,Electronic
SWMRS,Lose Lose Lose,0.633,0.952,0,131.981,Rock
The Neighbourhood,Nervous,0.589,0.614,0.165,119.837,Rock
Ski Mask The Slump God,JustLikeMyPiss,0.807,0.749,2.9e-6,139.974,Hip-Hop
Ludwig van Beethoven,"Fidelio, Op. 72, Act I: March (Live)",0.39,0.0782,0.764,124.551,Classical
Jeremy Olander,Zanzibar - Sthlm Radio Edit,0.695,0.778,0.761,122.018,Electronic
Ty Dolla $ign,Love U Better (feat. Lil Wayne & The-Dream),0.645,0.541,0,95.061,Rap
Queen,Fat Bottomed Girls - Remastered 2011,0.341,0.674,5.47e-6,88.933,Rock
Rakim,Guess Who's Back,0.819,0.799,0,94.013,Hip-Hop
Josh Phillips,Fixer Upper,0.682,0.758,5.72e-6,147.994,Country
Lil Uzi Vert,Diamonds All on My Wrist,0.852,0.636,0,139.994,Rap
Gorillaz,Stylo (feat. Mos Def and Bobby Womack),0.686,0.751,8.49e-4,100.222,Rock
Fall Out Boy,Our Lawyer Made Us Change The Name Of This Song So We Wouldn't Get Sued,0.504,0.948,3.95e-6,154.292,Rock
Ms. Lauryn Hill,Nothing Even Matters,0.539,0.363,3.18e-6,136.422,Rap
MC Hammer,2 Legit 2 Quit,0.853,0.889,6.88e-6,124.542,Electronic
Valee,Miami (feat. Pusha T),0.915,0.556,0,140.046,Hip-Hop
LCD Soundsystem,oh baby,0.58,0.622,0.653,169.442,Electronic
Kota the Friend,Sydney,0.789,0.583,0,109.733,Rap
empty_field,Bad Guy,0.62,0.599,0,126.972,Country
J. Cole,Immortal,0.713,0.419,2.87e-6,91.634,Rap
AntÃ´nio Carlos Jobim,Agua de beber,0.602,0.441,4.09e-5,137.232,Classical
Ghastly,This Is How,0.798,0.869,0.467,127.995,Electronic
Afro B,Drogba (Joanna),0.966,0.633,4.06e-6,108.011,Hip-Hop
George Jones,If Drinkin' Don't Kill Me (Her Memory Will) - Single Version,0.382,0.32,0,89.891,Country
Alison Wonderland,Already Gone,0.584,0.579,9.92e-4,135.088,Electronic
2Pac,Hail Mary - (Explicit),0.726,0.651,7.26e-6,164.113,Hip-Hop
Machine Gun Kelly,SIGNS (Feat. 24hrs),0.823,0.513,0,104.992,Hip-Hop
Jim Croce,Box # 10,0.651,0.712,6.09e-5,82.961,Rock
Dallas Smith,Make 'Em Like You,0.519,0.829,3.99e-6,140.025,Country
Tropkillaz,Bola Rebola,0.834,0.777,0.00609,129.984,Electronic
Jean Sibelius,"13 Pieces for Piano, Op. 76: Elegiaco, No. 10",0.243,0.00993,0.893,168.758,Classical
Atlas Genius,63 Days,0.677,0.686,0,159.973,Rock
G Herbo,Up It,0.644,0.48,0,79.892,Hip-Hop
Gucci Mane,Jumped Out The Whip (feat. A$AP Rocky),0.811,0.46,0,141.937,Hip-Hop
KISS,Forever,0.551,0.647,1.86e-5,88.276,Rock
Cody Jinks,Lifers,0.559,0.823,4.36e-6,125.443,Rock
Lil Yachty,Yacht Club (feat. Juice WRLD),0.721,0.508,0,159.911,Hip-Hop
Alfred Brendel,"Sonata for Two Pianos in D Major, K. 448: II. Andante",0.431,0.0314,0.941,118.213,Classical
Eric Church,"Holdin' My Own - Live At Mohegan Sun Arena, Uncasville, CT / April 27, 2017",0.779,0.671,8.33e-4,118.101,Country
NxWorries,Another Time,0.531,0.67,0,87.729,Hip-Hop
Ludwig van Beethoven,"Symphony No. 3 in E-Flat Major, Op. 55 ""Eroica"": I. Allegro con brio",0.26,0.0411,0.835,137.661,Classical
Thomas Rhett,Crash and Burn,0.693,0.789,1.19e-6,130.025,Rock
Pyotr Ilyich Tchaikovsky,"SÃ©rÃ©nade mÃ©lancolique, Op. 26",0.141,0.0345,0.227,81.223,Classical
empty_field,45:33:00,0.478,0.897,0.657,113.018,Electronic
Ludwig van Beethoven,"Leonore Overture No. 2, Op. 72a - Bonus Track",0.266,0.0365,0.543,140.486,Classical
Dolly Parton,Better Get to Livin',0.638,0.685,0,101.003,Country
Florida Georgia Line,Told You,0.411,0.721,0,180.02,Country
Kai Wachi,Cadaverous - Original Mix,0.59,0.779,0.675,180.034,Electronic
Eric Church,Love Your Love The Most,0.333,0.524,0,73.393,Country
Wolfgang Amadeus Mozart,Piano Concerto No.24 in C minor K.491 (Cadenzas are by Kissin): Larghetto,0.187,0.0065,0.835,94.907,Classical
empty_field,Golden Ticket,0.869,0.51,4.62e-6,130.078,Hip-Hop
YG,666 (feat. YoungBoy Never Broke Again),0.866,0.686,0,82.499,Rap
EARTHGANG,Momma Told Me,0.572,0.79,0,79.87,Rap
JID,Slick Talk,0.512,0.881,0,77.511,Hip-Hop
Drake,6 Man,0.798,0.529,0,78.967,Hip-Hop
Kacey Musgraves,Fine,0.421,0.297,1.88e-5,123.18,Country
Tech N9ne Collabos,Some Good,0.79,0.487,0,99.65,Country
Kid Ink,Do Me Wrong,0.738,0.654,5.61e-5,154.006,Hip-Hop
Tech N9ne Collabos,Sickology 101,0.754,0.881,0,91.927,Country
Juicy J,For Everybody,0.977,0.334,0,119.982,Rap
Aram Khachaturian,Adagio - Spartacus,0.186,0.112,0.883,115.664,Classical
Hector Berlioz,"La Damnation de Faust, Op. 24, H. 111: Pt. II, ScÃ¨ne IV - ""HÃ©las! doux chants du ciel""",0.248,0.11,9.9e-4,89.922,Classical
The Doobie Brothers,Black Water,0.532,0.441,0,169.275,Rock
empty_field,My Girl,0.652,0.719,0,94.969,Rock
dvsn,Run Away,0.764,0.33,0.506,119.978,Hip-Hop
Gabriel FaurÃ©,"Requiem, Op. 48: V. Pie Jesu",0.201,0.0368,0.199,131.917,Classical
Petey Pablo,Raise Up,0.735,0.844,0,156.069,Rap
empty_field,Blessed,0.9,0.686,0,111.722,Hip-Hop
Isaiah Rashad,Cilvia Demo,0.602,0.716,0,83.022,Hip-Hop
Eminem,Public Service Announcement,0.66,0.199,0,147.535,Hip-Hop
Neutral Milk Hotel,Oh Comely,0.366,0.357,1.97e-5,118.901,Rock
The Galaxy,Moon & The Stars - Rebourne Remix,0.563,0.871,0.775,149.939,Electronic
Hillsong UNITED,Whole Heart (Hold Me Now) - Live,0.303,0.613,0,161.864,Rock
Future,Incredible,0.79,0.438,0,90.022,Hip-Hop
FrÃ©dÃ©ric Chopin,"Nocturne in B Major, Op. 9, No. 3",0.315,0.0447,0.93,133.876,Classical
Hopsin,Crown Me,0.692,0.668,0,129.74,Rap
Wolfgang Amadeus Mozart,"Piano Concerto No. 27 in B-Flat Major, K. 595: I. Allegro - Cadenza - Tempo I",0.353,0.187,0.894,127.506,Classical
Tricky,Running Wild - DJ Tennis Remix,0.658,0.602,0.761,99.991,Electronic
Johann Sebastian Bach,"Sonata for Viola da Gamba No. 3 in G Minor, BWV 1029: II. Adagio",0.254,0.0197,0.806,86.088,Classical
Juicy J,Smoke A Nigga,0.825,0.636,0,150.009,Hip-Hop
BÃ˜RNS,Sweet Dreams,0.624,0.548,1.7e-4,91.973,Rock
A$AP Ferg,Shabba,0.869,0.712,0,120,Rap
NF,Mansion,0.428,0.833,0,150.712,Hip-Hop
Kendrick Lamar,untitled 02 | 06.23.2014.,0.526,0.506,0,85.349,Hip-Hop
Albert Hammond,It Never Rains in Southern California,0.626,0.565,0,116.61,Rock
Adventure Club,Save Me (feat. Adara),0.669,0.801,0.0489,139.966,Electronic
Lil Dicky,$ave Dat Money (feat. Fetty Wap & Rich Homie Quan),0.858,0.697,0,98.012,Rap
Dawes,Crack The Case,0.531,0.476,0.00257,130.232,Rock
The Allman Brothers Band,No One to Run With,0.467,0.884,0.187,100.599,Country
2Pac,Wonda Why They Call U B____,0.792,0.876,0,101.277,Hip-Hop
Howard Shore,Elanor - feat. Sir James Galway,0.118,0.0942,0.549,77.051,Classical
Will Todd,The Lord is My Shepherd,0.116,0.17,0.74,80.372,Classical
Kevin Gates,Ask For More,0.524,0.66,0,76.493,Rap
Trippie Redd,Dark Knight Dummo,0.28,0.821,0,181.444,Rap
Eminem,Groundhog Day,0.732,0.791,0,81.972,Hip-Hop
Walker McGuire,Lost,0.51,0.752,0,139.002,Country
Whiskey Myers,Hank,0.309,0.722,0,146.539,Country
Boys Noize,& Down,0.619,0.629,0.227,123.003,Electronic
empty_field,You Broke,0.911,0.493,0,92.516,Rap
James Ingram,I Don't Have the Heart,0.487,0.423,0,88.883,Rock
Luke Bryan,Pick It Up,0.635,0.885,0,156.044,Country
Lauren Alaina,Pretty,0.431,0.574,0,149.886,Country
Fetty Wap,No Days Off (feat. Monty),0.681,0.57,0,135.121,Rap
Cody Johnson,Ocean Of Whiskey,0.532,0.636,4.34e-6,134.926,Country
Edward Elgar,"Variations on an Original Theme, Op. 36 'Enigma': Variation X. Intermezzo: Allegretto ""Dorabella""",0.208,0.0068,0.167,178.948,Classical
Brett Eldredge,No Stopping You,0.568,0.508,3.02e-5,75.073,Country
6LACK,Switch - DEVAULT Remix,0.347,0.836,5.7e-5,86.397,Rap
Future,Karate Chop (Remix),0.755,0.576,0,134.877,Hip-Hop
Shoreline Mafia,Bussin,0.862,0.438,0,97.454,Rap
AC/DC,Big Gun,0.569,0.901,0.26,133.193,Rock
Kai Wachi,Demons - SQUNTO Remix,0.828,0.505,0.0494,74.969,Electronic
